Categorie annonce;Titre;Lieu;Prix;Chambres;Date brute;Date estimee;Type logement;Standing;Prix numerique;Chambres numeriques;Date NLP;Jours depuis publication;Annee publication;Mois publication;Jour publication;Quartier nettoye;Latitude;Longitude
Appartement;Appartement F4 non meublé à louer;Zone de captage;450 000 F Cfa;3 chambre;3. févr., 10:48;2026-02-03;F4;Meuble;450000;3.0;2026-02-03;51;2026;2;3;Zone De Captage;14.7340917;-17.4430318
Appartement;Appartement de type F3 à louer au mamelle cité mbackiou Faye;Dakar;450 000 F Cfa;2 chambre;25. févr., 14:05;2026-02-25;F3;Standard;450000;2.0;2026-02-25;29;2026;2;25;Dakar;14.693425;-17.447938
Appartement;Location F5 non meublé – Almadies (Résidence 790);Almadies;1 000 000 F Cfa;3 chambre;Aujourd'hui, 11:39;2026-03-26;F5;Meuble;1000000;3.0;2026-03-26;0;2026;3;26;Almadies;14.7441857;-17.5175251
Appartement;Mini studio à louer;Parcelles Assainies;100 000 F Cfa;1 chambre;Aujourd'hui, 15:40;2026-03-26;Studio;Standard;100000;1.0;2026-03-26;0;2026;3;26;Parcelles Assainies;14.7594072;-17.4384546
Appartement;Magnifique appartement de type F5 à louer;Nord foire;350 000 F Cfa;4 chambre;Aujourd'hui, 15:40;2026-03-26;F5;Standard;350000;4.0;2026-03-26;0;2026;3;26;Nord Foire;14.7526822;-17.4601185
Appartement;Magnifique Studio à louer;Zone de captage;250 000 F Cfa;1 chambre;Aujourd'hui, 15:39;2026-03-26;Studio;Standard;250000;1.0;2026-03-26;0;2026;3;26;Zone De Captage;14.7340917;-17.4430318
Appartement;Studio à louer;Ouakam;200 000 F Cfa;1 chambre;Aujourd'hui, 15:39;2026-03-26;Studio;Standard;200000;1.0;2026-03-26;0;2026;3;26;Ouakam;14.7247367;-17.4850662
Appartement;Magnifique appartement de type F3 à louer;Ouakam;250 000 F Cfa;2 chambre;Aujourd'hui, 15:38;2026-03-26;F3;Standard;250000;2.0;2026-03-26;0;2026;3;26;Ouakam;14.7247367;-17.4850662
Appartement;Magnifique appartement de type F3 à louer;Ouakam;350 000 F Cfa;2 chambre;Aujourd'hui, 15:37;2026-03-26;F3;Standard;350000;2.0;2026-03-26;0;2026;3;26;Ouakam;14.7247367;-17.4850662
Appartement;Magnifique studio à louer à Batrain;Ouakam;250 000 F Cfa;1 chambre;Aujourd'hui, 15:37;2026-03-26;Studio;Standard;250000;1.0;2026-03-26;0;2026;3;26;Ouakam;14.7247367;-17.4850662
Appartement;Appartement a louer aux mamelles;Mamelles;600 000 F Cfa;;Aujourd'hui, 15:36;2026-03-26;Appartement;Standard;600000;;2026-03-26;0;2026;3;26;Mamelles;14.7311563;-17.5003005
Appartement;Corniche Almadie appartement à louer aux 2 Eme étage;Almadies;1 700 000 F Cfa;3 chambre;Aujourd'hui, 15:26;2026-03-26;Appartement;Standard;1700000;3.0;2026-03-26;0;2026;3;26;Almadies;14.7441857;-17.5175251
Appartement;Très bel appartement de type F4 à louer;Almadies;2 000 000 F Cfa;3 chambre;Aujourd'hui, 15:35;2026-03-26;F4;Standard;2000000;3.0;2026-03-26;0;2026;3;26;Almadies;14.7441857;-17.5175251
Appartement;Appartement F5 – Almadies (derrière Free Mobile);Almadies;1 000 000 F Cfa;4 chambre;Aujourd'hui, 15:34;2026-03-26;F5;Standard;1000000;4.0;2026-03-26;0;2026;3;26;Almadies;14.7441857;-17.5175251
Appartement;Appartement T4 à mermoz;Mermoz;750 000 F Cfa;3 chambre;Aujourd'hui, 15:23;2026-03-26;T4;Standard;750000;3.0;2026-03-26;0;2026;3;26;Mermoz;14.7074454;-17.474397
Appartement;Appartement F3 à louer à sicap foire;Sicap foire;300 000 F Cfa;;Aujourd'hui, 15:12;2026-03-26;F3;Standard;300000;3.0;2026-03-26;0;2026;3;26;Sicap Foire;14.7413339;-17.4652931
Appartement;Appartement F3 à louer à liberté 3;Liberte 3;400 000 F Cfa;2 chambre;Aujourd'hui, 15:12;2026-03-26;F3;Standard;400000;2.0;2026-03-26;0;2026;3;26;Liberte 3;14.7163529;-17.4529293
Appartement;A louer un Joli appartement cite mixta 1etage;Cite Mixta;380 000 F Cfa;3 chambre;Aujourd'hui, 14:45;2026-03-26;Appartement;Standard;380000;3.0;2026-03-26;0;2026;3;26;Cite Mixta;14.7481314;-17.4557184
Appartement;Appartement spacieux Batrain (non loin Auchan mermoz);Ouakam;400 000 F Cfa;3 chambre;Aujourd'hui, 14:30;2026-03-26;Appartement;Standard;400000;3.0;2026-03-26;0;2026;3;26;Ouakam;14.7247367;-17.4850662
Appartement;Appartement F4 à louer à Keur Mbaye Fall;Rufisque;190 000 F Cfa;3 chambre;Aujourd'hui, 14:04;2026-03-26;F4;Standard;190000;3.0;2026-03-26;0;2026;3;26;Rufisque;14.716417;-17.273844
Appartement;Appartement F4 à louer à la Cité CPI;VDN;500 000 F Cfa;3 chambre;Aujourd'hui, 13:56;2026-03-26;F4;Standard;500000;3.0;2026-03-26;0;2026;3;26;VDN;14.7842013;-17.3936821
Appartement;Appartement F5 à la Résidence Ozone Virage;Virage;1 400 000 F Cfa;4 chambre;Aujourd'hui, 13:43;2026-03-26;F5;Standard;1400000;4.0;2026-03-26;0;2026;3;26;Virage;14.7549112;-17.4955253
Appartement;Appartement F4 à louer – Mermoz;Mermoz;1 400 000 F Cfa;3 chambre;Aujourd'hui, 13:05;2026-03-26;F4;Standard;1400000;3.0;2026-03-26;0;2026;3;26;Mermoz;14.7074454;-17.474397
Appartement;Superbe appartement au Point E;Point-e;1 200 000 F Cfa;3 chambre;Aujourd'hui, 13:01;2026-03-26;Appartement;Standard;1200000;3.0;2026-03-26;0;2026;3;26;Point E;14.6964782;-17.4641817
Appartement;Appartement F4 à l'immeuble KALYA Zone de Captage;Zone de captage;400 000 F Cfa;3 chambre;Aujourd'hui, 12:40;2026-03-26;F4;Meuble;400000;3.0;2026-03-26;0;2026;3;26;Zone De Captage;14.7340917;-17.4430318
Appartement;Ref_2929_PL Appartement F4 à louer au point E;Point-e;800 000 F Cfa;3 chambre;Aujourd'hui, 12:02;2026-03-26;F4;Standard;800000;3.0;2026-03-26;0;2026;3;26;Point E;14.6964782;-17.4641817
Appartement;Appartement F4 à usage de bureau;VDN;364 800 F Cfa;;Aujourd'hui, 11:59;2026-03-26;F4;Standard;364800;4.0;2026-03-26;0;2026;3;26;VDN;14.7842013;-17.3936821
Appartement;Ref_2929_PL Appartement F4 à louer au point E;Point-e;800 000 F Cfa;2 chambre;Aujourd'hui, 11:54;2026-03-26;F4;Standard;800000;2.0;2026-03-26;0;2026;3;26;Point E;14.6964782;-17.4641817
Appartement;Appartement a louer au Virage;Virage;1 000 000 F Cfa;;Aujourd'hui, 12:02;2026-03-26;Appartement;Standard;1000000;;2026-03-26;0;2026;3;26;Virage;14.7549112;-17.4955253
Appartement;Bel appartement moderne à la Cité Horizon;VDN;500 000 F Cfa;3 chambre;Aujourd'hui, 11:46;2026-03-26;Appartement;Standard;500000;3.0;2026-03-26;0;2026;3;26;VDN;14.7842013;-17.3936821
Appartement;Studio moderne aux Almadies;Almadies;250 000 F Cfa;1 chambre;Aujourd'hui, 11:42;2026-03-26;Studio;Standard;250000;1.0;2026-03-26;0;2026;3;26;Almadies;14.7441857;-17.5175251
Appartement;Appartement F4 à louer sur la VDN;VDN;410 000 F Cfa;3 chambre;Aujourd'hui, 11:38;2026-03-26;F4;Standard;410000;3.0;2026-03-26;0;2026;3;26;VDN;14.7842013;-17.3936821
Appartement;Appartement F3 à louer à la rue carnot;Plateau;600 000 F Cfa;;Aujourd'hui, 11:38;2026-03-26;F3;Standard;600000;3.0;2026-03-26;0;2026;3;26;Plateau;14.6768175;-17.4392915
Appartement;Duplex disponible avec terrasse;Virage;1 500 000 F Cfa;;Aujourd'hui, 11:38;2026-03-26;Duplex;Standard;1500000;;2026-03-26;0;2026;3;26;Virage;14.7549112;-17.4955253
Appartement;Appartement F4 à louer aux almadies;Almadies;1 400 000 F Cfa;;Aujourd'hui, 11:34;2026-03-26;F4;Standard;1400000;4.0;2026-03-26;0;2026;3;26;Almadies;14.7441857;-17.5175251
Appartement;Appartement f4 high standing à louer au virage;Virage;1 300 000 F Cfa;3 chambre;Aujourd'hui, 11:29;2026-03-26;F4;Standard;1300000;3.0;2026-03-26;0;2026;3;26;Virage;14.7549112;-17.4955253
Appartement;Ref_2929_PL Appartement F2 à louer – Point E;Point-e;500 000 F Cfa;1 chambre;Aujourd'hui, 10:57;2026-03-26;F2;Standard;500000;1.0;2026-03-26;0;2026;3;26;Point E;14.6964782;-17.4641817
Appartement;Appartement F4 à louer – Ouest Foire;Ouest foire;415 000 F Cfa;3 chambre;Aujourd'hui, 10:29;2026-03-26;F4;Standard;415000;3.0;2026-03-26;0;2026;3;26;Ouest Foire;14.7493864;-17.4702084
Appartement;APPARTEMENT HAUT STANDING À VENDRE/À LOUER AUX ALMADIES;Almadies;3 000 000 F Cfa;5 chambre;Aujourd'hui, 08:52;2026-03-26;Appartement;Luxe;3000000;5.0;2026-03-26;0;2026;3;26;Almadies;14.7441857;-17.5175251
Appartement;Appartement à la Fenêtre Mermoz;Fenêtre mermoz;750 000 F Cfa;3 chambre;Aujourd'hui, 08:28;2026-03-26;Appartement;Standard;750000;3.0;2026-03-26;0;2026;3;26;Mermoz;14.7074454;-17.474397
Appartement;Studio a louer a liberte 6 extention;Liberte 6 extension;260 000 F Cfa;1 chambre;Aujourd'hui, 07:30;2026-03-26;Studio;Standard;260000;1.0;2026-03-26;0;2026;3;26;Liberte 6 Extension;14.7334942;-17.4671607
Appartement;Ref_2929_PL – Appartement à louer à Point E;Point-e;500 000 F Cfa;1 chambre;Hier, 17:03;2026-03-25;Appartement;Standard;500000;1.0;2026-03-25;1;2026;3;25;Point E;14.6964782;-17.4641817
